file,branch,code_addr,dptr_addr,evidence_type,access_type,next_bytes,confidence
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4106,0x0030,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4176,0x0035,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x418A,0x2F25,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4191,0x2F24,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41BC,0x2F23,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41C5,0x2F22,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41D3,0x0035,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4933,0x0035,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4959,0x0035,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x497F,0x0035,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5CF6,0x457B,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5CFA,0x4575,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D23,0x4577,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D2A,0x4576,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D36,0x8000,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D6B,0x4575,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5DF0,0x46E8,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E02,0xF801,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E0A,0x43A1,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F8A,0x4575,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FC5,0x3193,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FC9,0x3197,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FCE,0x319B,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FD2,0x319F,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FDF,0x3010,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FF2,0x3199,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x610D,0x4575,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6129,0x317B,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6145,0x4575,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6167,0x32B2,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6173,0x4575,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x61C9,0x30B2,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x61F3,0x4578,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x61FC,0x30AF,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6212,0x30B2,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x62C3,0x30B2,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x640D,0x439D,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x64D4,0x30B1,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x64DD,0x3078,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x650B,0x30B1,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6519,0x30B1,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6591,0x30B1,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x65DC,0x4343,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x65E2,0x43A3,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x65F7,0x4345,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6601,0x4344,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x660B,0x4343,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6613,0x4346,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x661D,0x4347,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6627,0x4348,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x666F,0x4575,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6688,0x317B,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x66BC,0x3103,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x66C7,0x30A5,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x66CE,0x317B,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x66D4,0x30B5,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x66F0,0x317B,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x66F6,0x30B5,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6712,0x30B5,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x673C,0x3104,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6742,0x30CE,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x674B,0x30B0,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x676C,0x30A5,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6779,0x30A5,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x67B6,0x3103,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x67C1,0x30A5,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x67C7,0x30A5,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x67E4,0x30A5,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6803,0x4575,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x680B,0x30A5,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6816,0x30A5,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x681D,0x30A5,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6835,0x4575,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x68A8,0x30A5,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x68F7,0x30A4,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6907,0x4575,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x692F,0x30B1,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6933,0x43A5,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6951,0x30B1,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6955,0x43A6,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6983,0x4575,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x69A9,0x30B1,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x69AD,0x43A5,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x69C3,0x30B1,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x69C7,0x43A6,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x69D4,0x30B1,confirmed_xdata_read,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x69D8,0x43A7,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x69DD,0x30A4,confirmed_xdata_write,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x69E1,0x43AC,confirmed_xdata_write,write,F0,high
